#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	% narcotics	peer % narcotics	Most-prescribed medicare drugs
$1095478.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962567792 >DAVID MANNING </A>	Orthopaedic Surgery	<span style=color:black>361 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	42.3	( peers 55.8)	
$481.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1245449594 >ESTHER ESTWICK </A>	Psychiatry	<span style=color:black>2762 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	0	( peers 1.8)	ABILIFY;LATUDA;ABILIFY MAINTENA;REXULTI
$480.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1003918558 >JAMES ROBERSON </A>	Rheumatology	<span style=color:black>1687 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	36.9	( peers 23.6)	ENBREL;INTERMEZZO;BUTRANS;OXYCONTIN;DUEXIS
$476.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255528535 >DANA PERES EDELSON </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$473.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1518113513 >COLLEEN MAJEWSKI </A>	Endocrinology, Diabetes & Metabolism	<span style=color:black>1983 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			BYDUREON;OMNIPOD;TRESIBA;PREVNAR 13;TOUJEO
$473.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1437481355 >LUCIANA RIBEIRO </A>	Psychiatry	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			INVEGA SUSTENNA;LATUDA;FETZIMA;VIIBRYD;REXULTI
$469.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316084593 >JULIE PARK </A>	Plastic and Reconstructive Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$462.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1821196627 >JOHN JACKSON </A>	Internal Medicine	<span style=color:black>4692 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	11.7	( peers 17.0)	VICTOZA;LEVEMIR;SPIRIVA;PRADAXA;CELEBREX
$456.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144370180 >ELIZABETH LITTLEJOHN </A>	Pediatric Endocrinology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			NORDITROPIN;NOVOLOG;SUPPRELIN LA;HUMATROPE;HUMALOG
$445.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1073633038 >FRANCIS ALENGHAT </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ZETIA;VYTORIN;BRILINTA;PRADAXA;CLEVIPREX
$445.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1023409471 >DANIEL CURTIS </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$438.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144666348 >SEAN POLSTER </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$436.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1336316421 >AEXANDRA LEE AGUILAR </A>	Pediatric Endocrinology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			STRENSIQ;OTEZLA;ENBREL;LANTUS;SAMSCA
$434.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1447412192 >NAIMA ZAHEER </A>	Infectious Disease	<span style=color:black>251 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			PREVNAR  13;SPIRIVA;CUBICIN;TRIUMEQ;ELIQUIS
$432.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144239732 >MAURA QUINLAN </A>	Obstetrics & Gynecology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			DUAVEE;MYRBETRIQ;VESICARE;LO LOESTRIN FE;BUTRANS
$421.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1093748469 >MARC CHUANG </A>	Urology	<span style=color:black>816 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	8.1	( peers 9.5)	
$412.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699723031 >ANDREA KALETA </A>	Family Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			VICTOZA;HUMALOG;TRADJENTA;LEVEMIR;GARDASIL
$410.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1013236405 >LUIS MEDINA-GARCIA </A>	Infectious Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			CRESEMBA;CUBICIN;ZERBAXA;SIVEXTRO;ISENTRESS
$407.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1265844765 >RAVAND KHAZAI </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$406.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1780965582 >SAMPURNA TULADHAR </A>	Thoracic Surgery (Cardiothoracic Vascular Surgery)	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$403.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1841459773 >SALEHA SAJID </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			RITUXAN;SOLIRIS;AVASTIN
$395.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1649433285 >GRACE CHONG </A>	Pediatric Critical Care Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OTHER;SANDOSTATIN LAR;AFINITOR
$385.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639465131 >ANDREW JOHNSON </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$380.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1346354750 >JEFFREY FISCH </A>	Reproductive Endocrinology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			GONAL-F;OTHER;ENDOMETRIN;FOLLISTIM AQ;GANIRELIX
$376.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1568506103 >MATTHEW KOSHY </A>	Radiation Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$376.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144548330 >MEGHAN BRENNAN </A>	Anesthesiology	<span style=color:black>172 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			HYSINGLA ER;OXYCONTIN
$368.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922124304 >SONYA AIKELS </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			PREVNAR 13;EPIPEN;TRUMENBA;AEROSPAN;SYMBICORT
$362.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1780902395 >NATHAN THOMPSON </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$362.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1447300470 >RAJINDER ARORA </A>	Pediatrics	<span style=color:black>1127 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OTHER;SOLIRIS;XOLAIR;PERFOROMIST
$358.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1508246083 >ROBERT AVINO </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$355.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1891934147 >JAMES BOSWELL </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OFIRMEV
$350.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1669468021 >RONALD HOFFLANDER </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OFIRMEV;ACCUMESH;INVANZ;ENTEREG;ZEMURON
$350	<A HREF=https://projects.propublica.org/vital-signs/doctor/1861402984 >BRIAN TOOLAN </A>	Foot and Ankle Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$340.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1598179582 >XUAN HAN </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SOLIRIS
$336.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1043508724 >SONYA KENKARE </A>	Dermatology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			STELARA;ACZONE;HUMIRA
$335.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1184988032 >KALIE KEBED </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			PRADAXA;BRILINTA;KENGREAL;CLEVIPREX
$331.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639478027 >SANDRA GOYAL </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ELIQUIS;RELISTOR;BUTRANS;INTERMEZZO;OXYCONTIN
$329.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1609044395 >REBECCA SCHERR </A>	Pediatric Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OFIRMEV;UCERIS;SIMPONI;REMICADE
$317.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1134425820 >CYNTHIA CHASE </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			MENVEO;EPIPEN;VYVANSE;AUVI-Q;INTUNIV
$315.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1730162074 >ABRAHAM ROTHMAN </A>	Pediatric Cardiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ADEMPAS;OPSUMIT MACITENTAN;VENTAVIS ILOPROST
$312.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639276140 >SHAHID SIDDIQUI </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			BRILINTA;SANTYL;ADEMPAS
$311.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639518459 >MELANIE ADAMSKY </A>	Urology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$311.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1013203660 >MONIKA KREZALEK </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			TYGACIL;OTHER
$306.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144539610 >ANSHU VERMA </A>	Internal Medicine	<span style=color:black>1111 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	37.3	( peers 16.6)	XARELTO;ELIQUIS;PREVNAR 13;ZYVOX
$306.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1568628865 >TESSA BALACH </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			EUFLEXXA
$304.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1194974600 >GAURAV YADAVA </A>	Neurology with Special Qualifications in Child Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			FYCOMPA;TROKENDI XR;VYVANSE;INTUNIV;DIVALPROEX SODIUM DELAYED RELEASE TABLETS USP
$301.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1710272992 >JOSEPH PIERSON </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			NUCYNTA;PRADAXA
$299.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1760459184 >BRIAN MCNALLY </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SOLIRIS
$299.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1891849220 >ROY DANSKY </A>	Podiatrist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			LUZU;OTHER;JUBLIA;DUEXIS
$298.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1053372912 >DAVID MARMADUKE </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SOLIRIS
$296.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1659304855 >LUIS LANDERAS </A>	Body Imaging	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OASIS MRI SYSTEM
$295.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972654945 >JONATHAN LORENZ </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$292.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1003877192 >JUNE SIGMAN </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			TARCEVA
$291.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1659354454 >WILLIAM EVANS </A>	Pediatric Cardiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$287.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1083052880 >THOMAS LU </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			UCERIS;XIFAXAN
$280.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205264389 >BRITT CHRISTENSEN </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			XIFAXAN;HUMIRA
$280.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1215193461 >KATHERINE MESSING </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			AUVI-Q;SYMBICORT;QVAR;MENACTRA;SKLICE
$279.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1295013969 >DRAGANA RADOVANOVIC </A>	Hospitalist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			XARELTO;BREO
$278.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1285897413 >VASSILIKI SALOURA </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OTHER
$278.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699876235 >NAHID MAZAREI </A>	Obstetrics & Gynecology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$276.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1073777041 >ARMAND RYDEN </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SPIRIVA;SPIRIVA RESPIMAT;XYREM
$272.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932294980 >ERNEST SUSSMAN </A>	Urology	<span style=color:black>396 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	7.6	( peers 13.5)	
$271.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1073574935 >JONATHAN HUGHES </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			TARCEVA;SOLIRIS
$269.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205149952 >KAMALDEEP HEYER </A>	Emergency Medicine	<span style=color:black>418 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	46.6	( peers 40.9)	INVANZ;ACTIVASE;BRILINTA;CARDENE IV
$268.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1760822597 >ALI MANSOUR </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ADEMPAS;DALIRESP;TUDORZA
$267.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1396033825 >NARAYAN SAHA </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$265.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932340247 >ERIKA FERGUSON </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ACTIVASE;TRIUMEQ;TIVICAY
$265.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1073676599 >BHARATHI REDDY </A>	Nephrology	<span style=color:black>2092 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			RENVELA;SENSIPAR;ELIQUIS
$263.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699841254 >ROBERT O'LAUGHLIN </A>	Radiation Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			XOFIGO;AFINITOR;JAKAFI;YERVOY;SPRYCEL
$263.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588834311 >SHADY EL-ZAYATY </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$261.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1326363656 >KRISTAL BROWN </A>	Otolaryngology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$256.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1558362228 >HENRY CHANG </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$255.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316279433 >MICHAEL WARD </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			BELSOMRA;MOVANTIK;XIFAXAN;RELISTOR;BRILINTA
$253.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1093877540 >LOUIS PHILIPSON </A>	Endocrinology, Diabetes & Metabolism	<span style=color:black>1298 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$250.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972917136 >ABDALLAH BUKARI </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SOLIRIS
$250.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1649689811 >EMEKA ANYANWU </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SOLIRIS
$250	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205240314 >NAYNA LODHIA </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SOLIRIS
$248.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1427344258 >DARREN VAN BEEK </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$247.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831335850 >CLAUDINE SINSIOCO </A>	Neurology with Special Qualifications in Child Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ONFI;SABRIL;FYCOMPA
$246.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942620745 >KEN TATEBE </A>	Radiation Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$244.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1548249451 >LESA BROOKES </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			INVEGA TRINZA;MENVEO;VYVANSE
$244.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1770545519 >TODD MURRY </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			HUMIRA
$243.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1396806717 >JAMES TONSGARD </A>	Neurology	<span style=color:black>588 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			TROKENDI XR;OXTELLAR XR;ONFI;VIMPAT;BANZEL
$243.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1689998262 >NANA SARKOAH FENNY </A>	Pediatric Allergy/Immunology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			GAMMAGRAD/KIOVIG
$240	<A HREF=https://projects.propublica.org/vital-signs/doctor/1518172675 >ORI GOTTLIEB </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			KCENTRA;PRECEDEX DEXMEDETOMIDINE HCL IN 0.9 PERCENT SODIUM CHLORIDE INJEC
$237.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1881759009 >PETER KLOCK </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$231.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1295001659 >ROHAN KALATHIYA </A>	Internal Medicine	<span style=color:black>942 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	18.0	( peers 16.6)	PRADAXA;KENGREAL;CLEVIPREX
$229.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588754113 >JOEL BENTZ </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			TARCEVA
$228.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1871757567 >ROCHELLE NAYLOR </A>	Pediatric Endocrinology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			NORDITROPIN;SUPPRELIN LA
$225.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1437477411 >CHRISTIAN ZAINO </A>	Hand Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$225.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1598101859 >SHAAN SUDHAKARAN </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			XIFAXAN
